DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK
"Thu, 06 Apr 2017 14:40:00 -0400",Isomeric Pharmacy Solutions,Multiple compounded sterile products,Concerns of lack of sterility assurance,Isomeric Pharmacy Solutions,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm551281.htm,
"Wed, 05 Apr 2017 09:28:00 -0400",Newport,Newport HT70 and Newport HT70 Plus ventilators,"Potential ventilator may reset spontaneously during normal operation, without an accompanying alarm",Medtronic,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550870.htm,
"Tue, 04 Apr 2017 12:55:00 -0400",Clancy’s,Combo snack bag,Undeclared Milk,Olde York,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550673.htm,
"Tue, 04 Apr 2017 00:00:00 -0400",Season’s Choice,Season’s Choice Frozen Peas,Listeria monocytogenes,"Aldi in association with Lakeside Foods, Inc.",http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm551132.htm,
"Mon, 03 Apr 2017 00:00:00 -0400",Wegmans,Original Killer Brownies with Pecans,Undeclared Peanuts,"Wegmans Food Markets, Inc.",http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550395.htm,
"Sun, 02 Apr 2017 00:00:00 -0400",Hunt’s,Chili Kit,Salmonella,"Conagra Brands, Inc.",http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550184.htm,
"Fri, 31 Mar 2017 22:06:00 -0400",Menu Del Sol,Beans &amp; Cheese Burritos,Listeria monocytogenes,Sigma Alimentos Congelados,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550182.htm,
"Fri, 31 Mar 2017 19:24:00 -0400",Reser’s,Description	Macaroni Salad,Undeclared milk and soy,"Reser’s Fine Foods, Inc.",http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550178.htm,
"Fri, 31 Mar 2017 18:27:00 -0400",Mylan,"EpiPen (epinephrine injection, USP) and EpiPen Jr® (epinephrine injection, USP) Auto-Injectors",Failure to activate the device due to a potential defect,Mylan N.V.,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm550173.htm,
"Thu, 30 Mar 2017 10:21:00 -0400",NuGo Slim,Crunchy Peanut Butter nutrition bars,Undeclared Milk,Lifestyle Evolution,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm549680.htm,
"Tue, 28 Mar 2017 00:00:00 -0400",LaBri’s Body Health,Dietary Supplement,Unapproved new drug,Envy Me,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm549586.htm,
"Mon, 27 Mar 2017 15:31:00 -0400",Whole Foods Market,Banana Chocolate Chip Muffins,Undeclared Walnuts,Whole Foods Market,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm548947.htm,
"Sat, 25 Mar 2017 00:00:00 -0400",Sunshine Bakery,"Cassava cake, mixed nut mooncake","Undeclared peanut, almond, cashews, coconut, and sunflower seeds",Sunshine Bakery,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm549255.htm,
"Fri, 24 Mar 2017 13:14:00 -0400",20/20 Life Styles,Yogurt Peanut Crunch protein bar,E. coli O157:H7,Pro Sports Club,http://wayback.archive-it.org/7993/20170406194105/https://www.fda.gov/Safety/Recalls/ucm548563.htm,
