Brand,Company,Date,ProductDescription,Reason,Url
Henry Avocado Corporation,Henry Avocado Corporation,3/23/19,California-grown conventional and organic avocados,Potential to be contaminated with Listeria monocytogenes,https://www.fda.gov/Safety/Recalls/ucm634230.htm
BLUE FUSION,Ata Int. Inc.,3/21/19,Capsules marketed as a dietary supplement for male enhancement,"Tainted with sildenafil, tadalafil, desmethyl carbodenafil, dithiodesmethyl carbodenafil, scutellarin and daidzein",https://www.fda.gov/Safety/Recalls/ucm634124.htm
Better Made,Better Made Snack Foods,3/21/19,Original Potato Chips,undeclared milk,https://www.fda.gov/Safety/Recalls/ucm634092.htm
‎Snak Club,‎Century Snacks LLC,3/21/19,‎Snak Club Honey Bliss Nut Mix,Undeclared Milk,https://www.fda.gov/Safety/Recalls/ucm634082.htm
DG™/health NATURALS,"Kingston Pharma, LLC",3/20/19,baby Cough Syrup + Mucus,Potential to be contaminated with Bacillus cereus/ Bacillus circulans,https://www.fda.gov/Safety/Recalls/ucm634052.htm
Hill’s,Hill’s Pet Nutrition,3/20/19,Canned Dog Food,Due to elevated levels of vitamin D,https://www.fda.gov/Safety/Recalls/ucm634087.htm
Legacy,Legacy Pharmaceutical Packaging,3/19/19,Losartan Potassium USP,Impurity found,https://www.fda.gov/Safety/Recalls/ucm633664.htm
Mylan,Mylan Institutional LLC,3/18/19,"Levoleucovorin Injection, 250 mg/25 mL",Due to the presence of particulate matter identified as copper salts,https://www.fda.gov/Safety/Recalls/ucm633784.htm
Legacy,Legacy Pharmaceutical Packaging,3/15/19,Losartan Potassium USP,Impurity found,https://www.fda.gov/Safety/Recalls/ucm633671.htm
Hospira,"Hospira, Inc.",3/15/19,Sodium bicarbonate injection USP,Particulate matter,https://www.fda.gov/Safety/Recalls/ucm633663.htm
Surtidoras,"Surtidoras Bakery, Inc.",3/14/19,Muffins,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm633577.htm
Stokes Healthcare,"Stokes Healthcare, Inc.",3/13/19,Pilocarpine opthalmic solution,High level of preservative,https://www.fda.gov/Safety/Recalls/ucm633445.htm
Claire's,"Claire's Stores, Inc.",3/12/19,Makeup,possible presence of asbestos fibers in product samples,https://www.fda.gov/Safety/Recalls/ucm633237.htm
Pillsbury,Hometown Food,3/12/19,Flour,Salmonella,https://www.fda.gov/Safety/Recalls/ucm633320.htm
