Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","73089","Terminated","Heritage International","1125 W Victoria St","","Compton","CA","	90220-5812","United States","Voluntary: Firm initiated","Press Release","U.S. distribution to the following Trader Joe's distribution center locations; WA, CT, PA    No foreign distribution.","F-1004-2016","Class I","Trader Joe's Nuts   Raw Cashew Pieces  NET Wt. 18 oz (1 LB)   UPC Code: 0050 5154  Product of Thailand, Vietnam, & India  Packaged in Thailand","374 cases","Heritage International USA, Inc. is recalling Trader Joe's Raw Cashew Pieces because of potential Salmonella contamination.","01/15/2016","03/31/2016","10/12/2016","04/06/2016","BEST BEFORE 07.17.2016TF4"
"Food","No","","73347","Terminated","Fresh Creative Foods","3285 Corporate Vw","","Vista","CA","	92081-8528","United States","Voluntary: Firm initiated","Press Release","U.S. distribution to the following; TX.  No foreign distribution.","F-0816-2016","Class I","H-E-B Tartar Sauce  8 oz.  UPC: 41220 33244","1202 cases (14,424 units)","Fresh Creative Foods is recalling H-E-B Tartar Sauce because of undeclared fish from using the incorrect pre-printed label.","02/21/2016","03/25/2016","11/14/2016","04/06/2016","USE BY 04/19/2016  Lot Number#:  L0458791  L0458805  L0458854  L0458898  L0458949  L0458982  L0459008  L0459036"
"Food","No","","73374","Terminated","Jack And The Green Sprouts, Inc.","N8477 770th St","","River Falls","WI","	54022-4246","United States","Voluntary: Firm initiated","Telephone","MN, WI, ND","F-0795-2016","Class I","Jack and the Green Sprouts, Alfalfa Sprouts, Net Wt 5 oz (142 g), UPC 7 6324719891 5      Retail:  5 oz clam shell (cup) . Shipping cases hold 12 x 5 oz or 6 x 5 oz clam shells.","4,620 lbs for all products","Alfalfa Sprouts might be contaminated with E.coli 0157","02/24/2016","03/25/2016","05/25/2016","04/06/2016","Batch/Product #s and Pull Date #s, 213-2/8/16, 607-2/11/16, 955-2/15/16, 434-2/18/16, 372-2/22/16. Seed Lot # AT-X4018, Manufacturer #s 6324719891 and 6324719594, expiration date is 2 weeks from Pull Date."
"Food","No","","73374","Terminated","Jack And The Green Sprouts, Inc.","N8477 770th St","","River Falls","WI","	54022-4246","United States","Voluntary: Firm initiated","Telephone","MN, WI, ND","F-0796-2016","Class I","Jack and the Green Sprouts, Alfalfa & Onion Sprouts, Net Wt 5 oz (142 g),  UPC 7 6324719594 5.      Retail:  5 oz clam shell (cup) . Shipping cases hold 12 x 5 oz or 6 x 5 oz clam shells.","4,620 lbs for all products","Alfalfa Sprouts might be contaminated with E.coli 0157","02/24/2016","03/25/2016","05/25/2016","04/06/2016","Batch/Product #s and Pull Date #s, 213-2/8/16, 607-2/11/16, 955-2/15/16, 434-2/18/16, 372-2/22/16. Seed Lot # AT-X4018, Manufacturer #s 6324719891 and 6324719594, expiration date is 2 weeks from Pull Date."
"Food","No","","73378","Terminated","Lipari Foods, Inc.","26661 Bunert Rd","","Warren","MI","	48089-3650","United States","Voluntary: Firm initiated","Telephone","Retail and foodservice establishments in the following states:   IA, IL, IN, KY, MI, MN, MO, NE, NV, OH, PA, TN, WI, WV","F-0901-2016","Class I","Pistachio Raw Whole Shelled  9-oz. retail plastic tub or 5-lb. bulk plastic bag.    12, 9-oz  tubs per case.    1, 5# bag per case.","94 Cases  481966 (5# Pistachio Raw Whole Shelled; 164 Cases  333803 (12-9oz. Pistachio Meat Raw); 46 Cases  206661 (12-9oz. Private Label Pistachi","The pistachio products are being recalled as they have the potential to be contaminated with Salmonella.","02/10/2016","03/30/2016","03/30/2017","04/06/2016","Pistachio Raw Whole Shelled  Generic (packaged by JLM)    Product # 481966   5 Pound Bag UPC 094776132119  Lot numbers   22201508 best by  8/21/2016   14201509 best by 9/13/2016     Product # 333803  9 oz tub UPC 760208123818  Lot numbers  25201511 best by 11/24/16   21201510 best by 10/20/16   26201508 best by 8/25/16   29201601 best by 1/28/17   04201601 best by 1/3/17     Pistachio Meat Raw  Private labeled (Marv & Alisons Marketplace, Long  Lake Market, Martins, Holiday Market,  The Purple Onion, Trentwood Farms,  Angeli Foods, Market Square, Village  Food Market, Marthas Vineyard,  Remke Market)     Product # 206661  9 oz tub UPC 760208123818  Lot numbers  25201511 best by 11/24/16   21201510 best by 10/20/16   26201508 best by 8/25/16   29201601 best by 1/28/17"
"Food","No","","73378","Terminated","Lipari Foods, Inc.","26661 Bunert Rd","","Warren","MI","	48089-3650","United States","Voluntary: Firm initiated","Telephone","Retail and foodservice establishments in the following states:   IA, IL, IN, KY, MI, MN, MO, NE, NV, OH, PA, TN, WI, WV","F-0902-2016","Class I","Fancy Fruit & Nut Mix   9-oz. retail plastic tub or 25-lb. bulk plastic bag.    12, 9-oz.  tubs per case.    1, 25-lb. bag per case.","90 Cases  464677 (25# Fancy Fruit & Nut Mix); 113 Cases  582164 (12-9oz Fancy Fruit & Nut Mix); 33 Cases  - 583524 (12-9oz. Private Label Fancy Fru","The pistachio products are being recalled as they have the potential to be contaminated with Salmonella.","02/10/2016","03/30/2016","03/30/2017","04/06/2016","Fancy Fruit & Nut Mix   Generic (packaged by JLM)    Product # 464677   25 Pound Bag UPC 094776129195  Lot numbers   12201508 best by 8/11/2016   01201509 best by 8/31/2016     Product # 582164  9 oz tub UPC 094776144594  Lot numbers  26201508 best by 8/25/2016   07201510 best by 10/6/2016   04201512 best by 12/3/2016   13201601 best by 1/12/2017     Fancy Fruit & Nut Mix  Private labeled (Blue Goose Market, Hollywood  Market, Market Fresh Fine Foods,  Market Square, Rogers Foodland,  Trentwood Farms)     Product # 583524  9 oz tub UPC 094776144594  Lot numbers  26201508 best by 8/25/2016   07201510 best by 10/6/2016   04201512 best by 12/3/2016   13201601 best by 1/12/2017"
"Food","No","","73501","Terminated","Healthy Solutions LLC","16047 N 82nd St","","Scottsdale","AZ","	85260-1800","United States","Voluntary: Firm initiated","Letter","US distribution to CA for further distribution within the US by own label distributor.","F-1003-2016","Class I","Wellco Super Elixir Pouches   The Super Elixir  150g, 300g","56 cartons","Healthy Solutions is recalling Super Elixir Pouches because of potential Salmonella contamination.","03/04/2016","03/31/2016","10/24/2016","04/06/2016","Lot #: 0116015"
"Food","No","","73502","Terminated","Kanan Enterprises, Inc.","31900 Solon Rd","","Solon","OH","	44139-3536","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to the following states: AR, AZ, IL, IN & MI.","F-0817-2016","Class I","Favorites Natural Pistachios, roasted & salted, 4.5 oz (128g)  pouch UPC 0 38445 12286 5 Proudly distributed by Circle K Stores, Inc.  P.O. Box 52085 Phoenix, AZ 85072 www.circlek.com","408 cases/ 24/4.5 oz packages","The firm was notified by their  supplier that the product may contain Salmonella.","03/10/2016","03/28/2016","05/20/2019","04/06/2016","BEST BEFORE 15 Feb 2017 and 16 Feb 2017"
"Food","No","","73558","Terminated","Paradise Farm Organics Inc","1000 Wild Iris Ln","","Moscow","ID","	83843","United States","Voluntary: Firm initiated","Visit","sold on  AK, AL, AZ, CA, FL, GA, ID, IN, MA, MN, NJ, NY, OR, UT, and WA and in Netherland. Products were sold from www.maryjanesfarm.org.","F-0818-2016","Class I","Thai Fusion Outpost, net weight 5.1 oz.  UPC 0 99853 34255 9.    Thai Fusion Bulk bag, packaged in a ziploc plastic bag, net weight 3 lbs. UPC 0 99853 35255 8.    Thai Fusion On the Go, packaged in microwave able paper cup with plastic lid, net wt. 3.4 oz. UPC 0 99853 38255 5.  ","15/5.1 oz. pouches of Outpost; 6/3.4 oz. cups of On the Go; and 12/3 lbs bags.","Organic Thai Fusion Outpost 5.1 oz. packages, Organic Thai Fusion 3 lbs. bulk bags, and  Organic On the Go Thai Fusion 3.4 oz cups are recalled due to undeclared milk.","03/17/2016","03/28/2016","08/18/2016","04/06/2016","Lot # 021091  Lot # 022492  Product was made on 02/10/16 and 02/24/16."
"Devices","No","","69339","Terminated","Philips Medical Systems, Inc.","3000 Minuteman Rd","","Andover","MA","	01810-1032","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US (nationwide) and Internationally to:  CZECH REPUBLIC  ALBANIA  ALGERIA  ARGENTINA  AUSTRALIA  AUSTRIA  AZARBAIJAN  BAHAMAS  BANGLADESH  BELGIUM  BRAZIL  BULGARIA  CAYMAN ISLANDS  CHILE  CHINA  COLUMBIA  COSTA RICA  CROATIA  CUBA  CZECHOSLOVAKIA  DENMARK  DOMINICAN REPUB  ECUADOR  EGYPT  ESTONIA  FINLAND  FRANCE  GABON  GERMANY  GREECE  HONG KONG  HUNGARY  ICELAND  INDIA  INDONESIA  IRAN  IRAQ  IRELAND  ISRAEL  ITALY  JAPAN  JORDAN  KAZAKHSTAN  KENYA  KOREA SOUTH  KUWAIT  LATVIA  LEBANON  LIBYA  LITHUANIA  MACEDONIA  MALAYSIA  MAURITIUS  MEXICO  MOLDAVIA  MONGOLIA  MOROCCO  NEPAL  NETHERLANDS  NETHERLANDS ANT  NEW ZEALAND  NORWAY  OMAN  PAKISTAN  PALESTINE  PANAMA  Papua New Guinea  PARAGUAY  PERU  PHILIPPINES  POLAND  PORTUGAL  PUORTO RICO  QATAR  REUNION  ROMANIA  RUSSIAN FEDERAT  SAUDI ARABIA  SERBIA  SINGAPORE  SLOVENIA  SOUTH AFRICA  SPAIN  SUDAN  SWEDEN  SWITZERLAND  SYRIA  TAIWAN  TANZANIA  THAILAND  TUNISIA  TURKEY  UKRAINE  UNITED ARAB EMI  United Arab Emirates  UNITED KINGDOM  URUGUAY  USA  UZBEKISTAN  VENEZUELA  VIETNAM  YEMEN  GUADELOUPE  SYRIAN ARAB REPUBLIC","Z-1279-2016","Class II","Foot Switches used with Philips MultiDiagnost Eleva with Flat Detector; Product Codes: 708037, 708038  This Philips MultiDiagnost Eleva is intended to be used as a multifunctional/universal system. General RIF, Fluoroscopy, Radiography and Angiography can be performed along with more specialized interventional applications. This includes the following general areas: Digestive system, Skeletal system, Reproductive system, Respiratory system, Circulatory system, Various:Arthrograms, Myelograms, Facet joint injections, Discography, Sialography","168","Loss of key image functionality due to a bent pedal of the Footswitch.","09/24/2014","03/31/2016","03/26/2019","04/06/2016","Foot Switches:  452270000141 Footswitch CV 3p 4m; 452270000151 Footswitch MD 3p 6m;  452270000142 Footswitch CV 3p 4m; 452270000381 Footswitch CV 3p 8m; 452270000382 Footswitch CV 3p 8m; 459800076001 Footswitch CV 4p+2 4m; 459800076021 Footswitch CV 4p+2 8m; 459800415571 Wireless Footswitch 4p+2; 459800415581 Wireless footswitch set 4p+2;  459800415531 Wireless Footswitch 3P;  459800415561 Wireless footswitch set 3P."
