Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","81931","Ongoing","Winter Gardens Quality Foods, Inc.","304 Commerce St","","New Oxford","PA","	17350-1723","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","MD, PA, DE","F-1325-2019","Class I","Chips & Chocolate, A layered dessert with chocolate mousse layer on the bottom, with a white whipped topping layer on top topped with chocolate chips, 5 lb. tray, UPC Code 010742015408","138/5 lb. trays (690 lbs.)","Products potentially contaminated with Salmonella.","01/08/2019","05/01/2019","","05/01/2019","Lot/Unit Numbers: 573 (32 units), 577 (39), 583 (36), 589 (23), 595(8)    Expiration date(s) or Use by Date(s) or expected shelf life of product: 1/15/19, 1/19/19, 1/25/19, 1/31/19, 2/6/19"
"Food","No","","82267","Completed","The CF Sauer Company","728 N Main St","","Mauldin","SC","	29662-1918","United States","Voluntary: Firm initiated","E-Mail","Product was shipped to the following states: FL, GA, NC, SC, TN & VA.","F-1303-2019","Class I","MONARCH SOUTHERN BARBECUE SAUCE MADE WITH MUSTARD NET 128 FL OZ(1 GAL) 3.78L INGREDIENTS: WATER, HIGH FRUTOSE CORN SRYUP, SUGAR, TOMATO PASTE, DISTILLED AND CIDER VINEGAR, SALT  ***DISTRIBUTED BY/DISTRIBUIDO POR US FOODS, INC., ROSEMOUNT, IL 60015 UPC 7 58108 60016 4","928cs/4/1 gallon bottles","Monarch Southern BBQ contains soy and wheat. The firm had labels that properly described the product as Monarch Southern BBQ, but did not have the correct UPC, nutrition panel, ingredient statement or allergen declaration.","02/26/2019","04/23/2019","","05/01/2019","Product Item number 06678, Lot numbers18352M, 19015M, 19016M, 19030M, 19043M"
"Devices","No","05/02/2019","82455","Ongoing","Edwards Lifesciences, LLC","1 Edwards Way","","Irvine","CA","	92614-5688","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US Nationwide in the states of : IA, FL, MD, CA, NY, TX, CT, NC, OR, LA, UT,AK, WA, AZ, SD,CO,IN, KY, WV, TN, MI, AL, MA, VA, PA, MO, IL, GA, PR, MN, AR, OK, WI.    Foreign (OUS): CL, AR, CZ, SG, BR, ID, ES, IE, GB, AT, CA, AM, HK, AU, ZA, FI, KR, MY, TH, NL, FR, IT, GR, DK, SE, DE, TR, QA, NZ, SA, PS, PT, JP, CH, IL, AE, BE, EE","Z-1116-2019","Class I","Edwards Lifesciences, Fogarty Dilation Atrioseptostomy Catheter, Sterile EO, Rx Only, REF: 830705F    Product Usage:  The Fogarty dilation atrioseptostomy catheter is designed for enlarging interatrial openings. In most pediatric cardiology centers, balloon atrioseptostomy is an accepted technique for palliation of several congenital cardiac defects. Description of Use Balloon atrioseptostomy can be performed in conjunction with diagnostic cardiac catheterization or under echocardiographic guidance and has been carried out after the diagnosis of several congenital cardiac defects including but not limited to: transposition of the great arteries, total anomalous pulmonary venous drainage without pulmonary obstruction, tricuspid atresia, and pulmonary atresia with intact ventricular septum.","956","Difficulty with atrioseptostomy catheter balloon deflation after deployment, and reports of balloon fragmentation or detachment.","03/28/2019","04/25/2019","","05/01/2019","All lots within 15 months expiry from 03/01/2019"
"Devices","No","05/02/2019","82455","Ongoing","Edwards Lifesciences, LLC","1 Edwards Way","","Irvine","CA","	92614-5688","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US Nationwide in the states of : IA, FL, MD, CA, NY, TX, CT, NC, OR, LA, UT,AK, WA, AZ, SD,CO,IN, KY, WV, TN, MI, AL, MA, VA, PA, MO, IL, GA, PR, MN, AR, OK, WI.    Foreign (OUS): CL, AR, CZ, SG, BR, ID, ES, IE, GB, AT, CA, AM, HK, AU, ZA, FI, KR, MY, TH, NL, FR, IT, GR, DK, SE, DE, TR, QA, NZ, SA, PS, PT, JP, CH, IL, AE, BE, EE","Z-1117-2019","Class I","Edwards Lifesciences, Miller Balloon Atrioseptostomy Catheter, Sterile EO, Rx Only, REF: 830515F    Product Usage:  The Miller balloon atrioseptostomy catheter is designed for enlarging interatrial openings. In most pediatric cardiology centers, balloon atrioseptostomy is an accepted technique for palliation of several congenital cardiac defects. Description of Use Balloon atrioseptostomy can be performed in conjunction with diagnostic cardiac catheterization or under echocardiographic guidance and has been carried out after the diagnosis of several congenital cardiac defects including but not limited to: transposition of the great arteries, total anomalous pulmonary venous drainage without pulmonary obstruction, tricuspid atresia, and pulmonary atresia with intact ventricular septum.","1460","Difficulty with atrioseptostomy catheter balloon deflation after deployment, and reports of balloon fragmentation or detachment.","03/28/2019","04/25/2019","","05/01/2019","All lots within 15 months expiry from 03/01/2019"
"Food","No","","82649","Terminated","Denali Ingredients LLC","2400 S Calhoun Rd","","New Berlin","WI","	53151-2710","United States","Voluntary: Firm initiated","Telephone","OH, PA","F-1304-2019","Class I","Banana Puddin Base, item # 70 0559-1034, in 5 gallon plastic pail.  Net Wt:  48 LBS.  Ice Cream Flavoring.  Store Refrigerated (35-45F) at all times.  Denali Ingredients LLC, 2400 S. Calhoun Rd, New Berlin, WI  53151","6,096 lbs.","Banana Puddin Base contains an undeclared egg sub-ingredient.","04/16/2019","04/23/2019","06/27/2019","05/01/2019","Lot F016758, Exp 03/03/2019;     Lot F017544, Exp 03/30/2019;     Lot F021031, Exp 11/06/2019;     Lot F021997 Exp 12/22/2019;"
"Food","No","05/23/2019","82655","Ongoing","Societe Fromagere de la Brie","19 Avenue Du Grand Morin","","St Simeon","","	","France","Voluntary: Firm initiated","E-Mail","The cheeses are sold to importers in the USA.","F-1406-2019","Class I","Formagere de la Brie FORMAGE FRANCAIS l'Explorateur, packaged in a plastic container, in 100g, 250g - UPC: 3 390010004080, and 1kg packages.","58 Cases","The product may be contaminated with Listeria monocytogenes.","04/10/2019","05/23/2019","","05/01/2019","All codes/expiration dates after February 10, 2019."
"Food","No","","82655","Ongoing","Societe Fromagere de la Brie","19 Avenue Du Grand Morin","","St Simeon","","	","France","Voluntary: Firm initiated","E-Mail","The cheeses are sold to importers in the USA.","F-1407-2019","Class I","Formagere de la Brie, Brie de Brie","Unknown","The product may be contaminated with Listeria monocytogenes.","04/10/2019","05/23/2019","","05/01/2019","All codes/expiration dates after February 10, 2019."
"Veterinary","No","04/25/2019","80031","Completed","Zoetis, LLC","601 Beam St","","Salisbury","MD","	21801-7876","United States","Voluntary: Firm initiated","Letter","Product was distributed to customers (feed mills) in Utah, Texas and New York.","V-0126-2019","Class II","Bovatec 91, Type A Medicated Article, packaged in 50 lbs, polyethylene lined kraft paper bags.","100/50 lb bags","Product is being recalled due to the distribution of an unreleased lot.","05/03/2018","04/25/2019","","05/01/2019","Lot number: HFN70475  NADA # 096-298"
"Veterinary","No","05/09/2019","80448","Ongoing","Phibro Animal Health Corporation","300 Frank W Burr Blvd Ste 21","","Teaneck","NJ","	07666-6712","United States","Voluntary: Firm initiated","Letter","NC","V-0137-2019","Class II","Phibro Nicarb 25% Type A Medicated Article Net Wt 50 lb (22.68 kg) Distributed by: Phibro Animal Health Corporation Teaneck, NJ 07666","120 units","Nicarb 25% Type A Medicated Article lot F72510108KA is under recall because the 9-month stability sample has a confirmed out of specification (OOS) result of 24.3%.","06/27/2018","05/09/2019","","05/01/2019","Lot #F72510108KA"
"Veterinary","No","05/07/2019","80456","Ongoing","Phibro Animal Health Corporation","300 Frank W Burr Blvd Ste 21","","Teaneck","NJ","	07666-6712","United States","Voluntary: Firm initiated","Letter","AL","V-0136-2019","Class II","Phibro Nicarb (nicarbazin) 25% Type A Medicated Article, Net Wt 50 lb (22.68 kg) Distributed by: Phibro Animal Health Corporation Teaneck, NJ 07666","240 units","Nicarb 25% Type A medicated article tested at 24.2% (Nicarbazin) below the potency specification of 24.5-26.5 % at the 12 month stability interval under VICH long-term conditions.","07/13/2018","05/07/2019","","05/01/2019","Lot #LSC678"
