Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1824-2013","Class I","NuGo Free Dark Chocolate Trail Mix Bar, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013  UPC code 691535453012 (box)  UPC code 69153545301 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1825-2013","Class I","NuGo Free Dark Chocolate Crunch, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013    UPC code 69153545102 (box)  UPC code 69153545101 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1826-2013","Class I","NuGo Free Carrot Cake, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By 2012 and 2013  UPC  69153545502 (box)  UPC 69153545501 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1827-2013","Class I","NuGo Dark Chocolate Chocolate Chip 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013    UPC 69153552102 (box)  UPC 69153552101 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1828-2013","Class I","NuGo Dark Mocha, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013  UPC code 69153552302 (box)  UPC code 69153552301 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1829-2013","Class I","NuGo Dark Mint Chocolate Chip, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013    UPC 69153552502 (box)  UPC 69153552501 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1830-2013","Class I","NuGo Dark Peanut Butter Cup, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013  UPC  69153552702 (box)  UPC 69153552701 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1831-2013","Class I","NuGo Dark Pretzel 1.59 oz (45g) Non-Dairy  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013   UPC 69153552902 (box)   UPC 69153552901 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1832-2013","Class I","NuGo Slim Crunchy Peanut Butter, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and  2013   UPC 69153520702 (box)   UPC 69153520701 (bar)"
"Food","No","","64666","Terminated","NuGo Nutrition HQ","520 2nd St","","Oakmont","PA","	15139-2025","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide and Canada.","F-1833-2013","Class I","NuGo Slim Espresso, 1.59 oz (45g)  Non-Dairy","","Product may contain undeclared milk product","03/28/2013","08/19/2013","08/26/2014","08/28/2013","Best By date ending in 2012 and 2013   UPC 69153520902 (box)   UPC 69153520901 (bar)"
"Food","No","","65645","Terminated","Whole Foods Market","550 Bowie St","","Austin","TX","	78703-4648","United States","Voluntary: Firm initiated","E-Mail","Retail Stores Nationwide","F-1834-2013","Class I","Crave Brothers Les Freres cheese sold with labeling as: Les Freres, Crave Brothers Les Freres, Les Freres Wash Rind Product of USA, Crave Bros Les Freres, Crave Brothers Les Freres Cheese by Pound, Les Freres Crave Brothers, and Les Freres Crave Brothers PO-RK.  Cheese was cut and wrapped.","Unknown","Whole Foods Market announces that it is recalling Crave Brothers Les Freres cheese in response to a recall by the Crave Brothers Farmstead Cheese Company of Waterloo, Wisconsin. The cheese is being recalled because it has the potential to be contaminated with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and o","07/04/2013","08/20/2013","10/07/2014","08/28/2013","All best by dates for the following list of PLUs: Les Freres - PLU #299682, Crave Brothers Les Freres - PLU #299682, Les Freres Wash Rind Product of USA - PLU #294473, Crave Bros Les Freres - PLU #294473, Crave Brothers Les Freres Cheese by Pound - PLU #294473, Les Freres Crave Brothers - PLU #294473, and Les Freres Crave Brothers PO-RK - PLU #294473."
"Devices","No","","65777","Terminated","Stryker Spine","2 Pearl Ct","","Allendale","NJ","	07401-1611","United States","Voluntary: Firm initiated","Letter","Nationwide Distribution.","Z-1976-2013","Class I","Stryker Oasys Midline Occiput Plate-1) Small 2) Medium 3) Large 4) Large Long  5) Mini.    Allows for positioning directly on the midline keel of the occiput.","1536 units (US) 880 (Foreign)","Stryker has received reports from customers indicating post-operative  fracture of the pin that connects the tulip head to the plate body.","05/30/2013","08/22/2013","12/30/2014","08/28/2013","K093670      Catalog numbers:    Small - 48551044  Medium - 48551045  Large  - 48551046  Large Long - 48551047  Mini- 48551048    All lots of the above"
"Drugs","No","","64102","Terminated","Fresenius Kabi USA LLC (FK USA)","1501 E Woodfield Rd","Suite 300 East","Schaumburg","IL","	60173-6052","United States","Voluntary: Firm initiated","Letter","Nationwide","D-915-2013","Class II","IRINOTECAN HYDROCHLORIDE INJECTION, 40 mg/2 mL (20 mg/mL), 2 mL Single Dose Vial, Rx only, Manufactured for: APP Pharmaceuticals, LLC,  Schaumburg, IL 60173, NDC 63323-193-02, UPC 3 63323 19302 7.","23,672 vials","Crystallization: Active pharmaceutical ingredient is precipitating in product solution.","01/22/2013","08/21/2013","05/12/2015","08/28/2013","Lot #: 872CZ00101, Exp 12/13"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1836-2013","Class II","Texas Wild UPC 51/60 BSO Shrimp Headless Shell-on IQF, Wild Caught, Product of the USA 20 # Net Weight, Galveston Shrimp Co., Galveston, TX 77550    ","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-45551, lot number 379B"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1837-2013","Class II","Texas Wild UPC 41/50 BSO, Shrimp Headless Shell-on, IQF Wild Caught, Product of the USA 20# Net Weight, Galveston Shrimp Co., Galveston, Texas 77550","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-72010, lot number 379B"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1838-2013","Class II","Texas Wild UPC 31/40 BSO, Shrimp Headless Shell-on, IQF, Wild Caught, Product of USA 20# Net Weight, Galveston Shrimp Co., Galveston, Texas 77550","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-45530; 27241-45536 and 27241-45531 , lot number 379B"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1839-2013","Class II","Texas Wild UPC, 26/30 BSO, Shrimp Headless Shell-on, IQF, Wild Caught, Product of USA, 20# Net Weight, Galveston Shrimp Co., Galveston, Texas 77550","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-72005 lot number 379B"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1840-2013","Class II","Texas Wild UPC 16/25 BSO, Shrimp Headless Shell-on, IQF, Wild Caught, Product of USA, 20# Net Weight, Galveston Shrimp Co., Galveston, TX 77550","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-45519 lot number 379B"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1841-2013","Class II","Texas Wild UPC, 16/20 BSO, Shrimp Headless Shell-on, IQF, Wild Caught, Product of USA, 20# Net Weight, Galveston Shrimp Co., Galveston, TX 77550","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-45516 lot number 379B"
"Food","No","","65116","Terminated","Galveston Shrimp Company, Inc.","8011 Harborside Dr","","Galveston","TX","	77554-2838","United States","Voluntary: Firm initiated","Press Release","All product was distributed in Texas.","F-1842-2013","Class II","Texas Wild UPC, 16/20 WSO, Shrimp Headless Shell-on, IQF, Wild Caught, Product of USA 20# Net Weight, Galveston Shrimp Co., Galveston, TX 77550","","Foreign Material","05/18/2013","08/20/2013","04/02/2014","08/28/2013","UPC 27241-45416 lot number H143"
