Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Veterinary","No","08/22/2019","80582","Terminated","Gilman Cooperative Creamery Association","9920 115th Street NE","","Gilman","MN","	56333","United States","Voluntary: Firm initiated","Telephone","MN","V-0223-2019","Class I","Blend 985 Horse Mix Start","2,000 lbs.","Horse Feed may contain Monensin residue","06/15/2018","08/22/2019","09/10/2019","02/27/2019","Ticket # 445"
"Devices","No","","81957","Ongoing","Philips North  America, LLC","3000 Minuteman Rd","","Andover","MA","	01810-1032","United States","Voluntary: Firm initiated","Letter","Domestic distribution nationwide. Foreign distribution worldwide.","Z-0857-2019","Class II","PageWriter TC70 w/trolley Government Bundle, Product 860352, Software revisions up to and including A.07.05. 22 to evaluate the electrocardiogram of adult and pediatric patients","57","Philips PageWriter TC cardiograph batteries which have reached end of life may overheat, causing the case to melt and/or the device to ignite, which can cause injury to patient or nearby users.","01/09/2019","02/21/2019","","02/27/2019","US21512485  US21512486  US21512487  US21512488  US21512489  US21512490  US31722466  US31722467  US31722468  US31722469  US41513026  US61722772  US61722773  US71621391  US71722865  US71722866  US81208557  US81208558  US81309947  US81411777  US81411819  US81411820  US81621422  US91412024  US91412025  US91412026  US91513515  US91513521  US91513522  US91513585  US91621626  USD1513746  USN1621889  USN1723144  USN1723145  USO1310393  USO1310394  USO1310395  USO1310396  USO1513640  USO1621655  USO1831199  USO1831200  USO1831201  USO1831202  USO1831208  USO1831209  USO1831210  USO1831211  USO1831212  USO1831213  USO1831214  USO1831215  USO1831216  USO1831217  USO1831218  USO1831219"
"Devices","No","","81957","Ongoing","Philips North  America, LLC","3000 Minuteman Rd","","Andover","MA","	01810-1032","United States","Voluntary: Firm initiated","Letter","Domestic distribution nationwide. Foreign distribution worldwide.","Z-0858-2019","Class II","PageWriter TC70 w/o trolley Government Bundle, Product 860353, Software revisions up to and including A.07.05.22 to evaluate the electrocardiogram of adult and pediatric patients","2","Philips PageWriter TC cardiograph batteries which have reached end of life may overheat, causing the case to melt and/or the device to ignite, which can cause injury to patient or nearby users.","01/09/2019","02/21/2019","","02/27/2019","US91412044  USO1513631"
"Devices","No","","81957","Ongoing","Philips North  America, LLC","3000 Minuteman Rd","","Andover","MA","	01810-1032","United States","Voluntary: Firm initiated","Letter","Domestic distribution nationwide. Foreign distribution worldwide.","Z-0859-2019","Class II","PageWriter TC30 w/ trolley Government Bundle, Product 860354, Software revisions up to and including A.07.05.22 to evaluate the electrocardiogram of adult and pediatric patients","7","Philips PageWriter TC cardiograph batteries which have reached end of life may overheat, causing the case to melt and/or the device to ignite, which can cause injury to patient or nearby users.","01/09/2019","02/21/2019","","02/27/2019","US41510645  US41510646  US71630792  USN1206382  USN1206383  USN1409879  USO1631023"
"Devices","No","","81957","Ongoing","Philips North  America, LLC","3000 Minuteman Rd","","Andover","MA","	01810-1032","United States","Voluntary: Firm initiated","Letter","Domestic distribution nationwide. Foreign distribution worldwide.","Z-0860-2019","Class II","PageWriter TC50 Government Bundle, Product 860429, Software revisions up to and including A.07.05.22 to evaluate the electrocardiogram of adult and pediatric patients","3","Philips PageWriter TC cardiograph batteries which have reached end of life may overheat, causing the case to melt and/or the device to ignite, which can cause injury to patient or nearby users.","01/09/2019","02/21/2019","","02/27/2019","USN1800002  USN1800003  USN1800004"
"Devices","No","","81957","Ongoing","Philips North  America, LLC","3000 Minuteman Rd","","Andover","MA","	01810-1032","United States","Voluntary: Firm initiated","Letter","Domestic distribution nationwide. Foreign distribution worldwide.","Z-0861-2019","Class II","PageWriter TC30 w/o trolley Government Bundle, Product 860355, Software revisions up to and including A.07.05.22 to evaluate the electrocardiogram of adult and pediatric patients","14","Philips PageWriter TC cardiograph batteries which have reached end of life may overheat, causing the case to melt and/or the device to ignite, which can cause injury to patient or nearby users.","01/09/2019","02/21/2019","","02/27/2019","US31510433  US31630351  US31630352  US31630353  US51510712  US51510713  US61510947  US61630668  US61630669  US81731977  US81731978  US91511381  US91511445  USO1511461"
"Devices","No","","81972","Ongoing","Intuitive Surgical, Inc.","1266 Kifer Rd Bldg 101","","Sunnyvale","CA","	94086-5304","United States","Voluntary: Firm initiated","Letter","US and Australia, Austria, Belgium, Brazil, Canada, Chile, China, Colombia, Denmark, Finland, France, Germany, India, Israel, Italy, Japan, Kuwait, Lebanon, Mexico, Monaco, Netherlands, Pakistan, Qatar, Romania, Russian Federation, Saudi Arabia, Singapore, South Korea, Spain, Taiwan, Turkey, United Kingdom","Z-0841-2019","Class II","daVinci Harmonic ACE Curved Shears","43755 inserts","During an internal inspection, Intuitive found that the sterile packaging of the da Vinci S/Si Harmonic ACE Inserts may become damaged during transit.  The potential damage includes pinholes and /or small openings (less than a few millimeters) on the pouch leading to a potential breach in sterility.","01/16/2019","02/15/2019","","02/27/2019","All Lots"
"Food","No","","81988","Terminated","Nutrafuels, Inc.","6601 Lyons Rd Ste L6 And L7","","Coconut Creek","FL","	33073-3639","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Domestic Consignees only.","F-1045-2019","Class II","CTFO Sleep Support Oral Spray with pure CBD Hemp Oil isolate Dietary Supplement, 1oz/30ml.","676 units","Recalling firm's consignee conducted third party micro testing showing microbial contamination in specific lots of the following products: CTFO Sleep Support Oral Spray (Aspergillus), CTFO Pain Relief Oral Spray (total aerobic bacteria), and CTFO Weight Loss Oral Spray (Enterobacteriaceae).","01/11/2019","02/20/2019","09/16/2019","02/27/2019","Lot KA022, DOM 11/20/18"
"Food","No","","81988","Terminated","Nutrafuels, Inc.","6601 Lyons Rd Ste L6 And L7","","Coconut Creek","FL","	33073-3639","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Domestic Consignees only.","F-1046-2019","Class II","CTFO Pain Relief Oral Spray with pure CBD Hemp Oil isolate Dietary Supplement, 1oz/30ml.","840 units","Recalling firm's consignee conducted third party micro testing showing microbial contamination in specific lots of the following products: CTFO Sleep Support Oral Spray (Aspergillus), CTFO Pain Relief Oral Spray (total aerobic bacteria), and CTFO Weight Loss Oral Spray (Enterobacteriaceae).","01/11/2019","02/20/2019","09/16/2019","02/27/2019","Lot 8180141  Exp: 7/20"
"Food","No","","81988","Terminated","Nutrafuels, Inc.","6601 Lyons Rd Ste L6 And L7","","Coconut Creek","FL","	33073-3639","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Domestic Consignees only.","F-1047-2019","Class II","CTFO Weight Loss Oral Spray with pure CBD Hemp Oil isolate Dietary Supplement, 1oz/30ml.","1,011 units","Recalling firm's consignee conducted third party micro testing showing microbial contamination in specific lots of the following products: CTFO Sleep Support Oral Spray (Aspergillus), CTFO Pain Relief Oral Spray (total aerobic bacteria), and CTFO Weight Loss Oral Spray (Enterobacteriaceae).","01/11/2019","02/20/2019","09/16/2019","02/27/2019","Lot KA021  DOM: 11/20/18"
"Biologics","No","","81992","Terminated","BPL Plasma, Inc.","239 Main St","","Lewiston","ME","	04240-7020","United States","Voluntary: Firm initiated","E-Mail","CA","B-0303-2019","Class II","Source Plasma","1 unit","Blood product, collected from a donor who received a tattoo within 12 months of donation, was distributed.","01/19/2018","02/20/2019","02/20/2019","02/27/2019","PL3048051"
"Biologics","No","","81993","Terminated","LifeServe Blood Center","431 E Locust St","","Des Moines","IA","	50309-1909","United States","Voluntary: Firm initiated","Telephone","IA; NC; PA; SD; CA; NB; SC","B-0301-2019","Class II","Apheresis Platelets, Leukocytes Reduced, Irradiated","11 units","Blood products, which did not meet the acceptable product specifications for release, were distributed.","11/09/2018","02/20/2019","02/20/2019","02/27/2019","W037918562610; W037918562610; W037918565794; W037918565794; W037918563532; W037918565676; W037918565790; W037918565790; W037918565790; W037918565788; W037918563535"
"Biologics","No","","81993","Terminated","LifeServe Blood Center","431 E Locust St","","Des Moines","IA","	50309-1909","United States","Voluntary: Firm initiated","Telephone","IA; NC; PA; SD; CA; NB; SC","B-0302-2019","Class II","Apheresis Platelets, Leukocytes Reduced","13 units","Blood products, which did not meet the acceptable product specifications for release, were distributed.","11/09/2018","02/20/2019","02/20/2019","02/27/2019","W037918562610; W037918565794; W037918565800; W037918565800; W037918565800; W037918563532; W037918563532; W037918565676; W037918565676; W037918565788; W037918565788; W037918563535; W037918563535;"
"Food","No","","82001","Terminated","Century Snacks LLC","5560 E Slauson Ave","","Commerce","CA","	90040-2921","United States","Voluntary: Firm initiated","Letter","U.S. distribution to the following: CA, FL, GA, IL, NH, VA.  No foreign distribution.","F-0938-2019","Class II","Snak Club Praline Pecans  Made With Cane Sugar  NET Wt. 2.25 oz (64 g)  Produced By: Century Snack  Commerce, CA 90040  centurysnacks.com","25 packages","Mis-packaging; product was labeled as Praline Pecans when it was packed with Praline Almonds.","01/14/2019","02/15/2019","03/13/2019","02/27/2019","Best By JAN 09 2019 TP1B M"
"Devices","No","","82002","Ongoing","Shimadzu Medical Systems Usa Com","20101 S Vermont Ave","","Torrance","CA","	90502-1328","United States","Voluntary: Firm initiated","E-Mail","FL, MT, CT, OH, IL, TX, MS, LA, SC","Z-0864-2019","Class II","TRINIAS for diagnostic imaging and interventional procedures in cardiac angiography, neurovascular angiography, abdominal angiography, peripheral angiography, rotational angiography, multi-purpose angiography and whole body radiographic/fluoroscopic procedures.","13 units","Two issues:  Event 1:   Normal operation of the device is to power up the device in the morning, register the first patient, and then perform a fluoroscopy. If, however, the user powers up the device in the morning and makes an error by starting a fluoroscopy while the first patient is still being registered, the device application will abnormally terminate and require service intervention before it can be used again. This event will not occur after the first patient procedure.     Event 2:   In rare cases a synchronization error may occur in the data transmission circuit in the device due to external noise. The visibility of the displayed image may be corrupted (images become bit-shifted abnormal images). If this event occurs, it may become difficult to see the object, which may hinder the examination and treatment.","01/14/2019","02/21/2019","","02/27/2019","Serial Numbers:  41B247746001, 41B24774C001, 41E58C757001, 41E58C765001, 41E58C766001, 41E58C769001, 41E58C76B001, 41E58C773001, 41E58C775001, 41E58C776001, 41E58C777001,   41E58C977001, 41EFCD77C001"
"Biologics","No","","82006","Terminated","New York Blood Center, Inc.","1200 Prospect Ave","","Westbury","NY","	11590-2723","United States","Voluntary: Firm initiated","FAX","NY; CA","B-0298-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood products, collected from a donor for whom donor suitability was not adequately determined, were distributed.","11/09/2018","02/20/2019","02/20/2019","02/27/2019","W047018162761"
"Devices","No","","82007","Ongoing","Cook Inc.","750 N Daniels Way","","Bloomington","IN","	47404-9120","United States","Voluntary: Firm initiated","Letter","The products were distributed to the following US states:  CA, CT, GA, MA, NY, PA, VA, and WI.","Z-0851-2019","Class II","Check-Flo Performer Introducer, Catalog Number RCFW-5.0-25-45-RB-CHB, GPN G11571","24","The products were manufactured with longer than specified sheaths.","12/21/2018","02/20/2019","","02/27/2019","lot 8858425"
"Drugs","No","","82012","Completed","US Compounding Inc","1270 Dons Ln","","Conway","AR","	72032-4753","United States","Voluntary: Firm initiated","Letter","U.S.A. Nationwide","D-0508-2019","Class II","Ephedrine Sulfate, 50 mg/10 mL, 10 mL Single Use Syringe, Rx only, US Compounding Pharmacy 1270 Don's Lane Conway, AR 800-718-3588, Barcode: 62295308407","1686 syringes","Lack of assurance of sterility.","01/29/2019","02/15/2019","","02/27/2019","Lot: 20181812@2 BUD: 06/16/2019"
"Drugs","No","","82048","Ongoing","ICU Medical Inc","600 N FIELD DRIVE","","LAKE FOREST","IL","	60045","United States","Voluntary: Firm initiated","Letter","Nationwide within the United States","D-0509-2019","Class II","0.9% Sodium Chloride Injection, USP 1000 mL flexible container, Rx only,  Hospira, Inc., Lake Forest, IL 60045 USA,  NDC 0409-7983-09","475320 bags","CGMP Deviations","02/04/2019","02/19/2019","","02/27/2019","Lot #: 91-016-JT, Exp. July 01, 2020"
"Drugs","No","","82085","Ongoing","Dr. Reddy's Laboratories, Inc.","107 College Rd E","","Princeton","NJ","	08540-6623","United States","Voluntary: Firm initiated","Letter","U.S.A. Nationwide","D-0507-2019","Class II","Divalproex Sodium Extended-release Tablets, USP 250 mg, 100-count bottle, Rx only, Mfd.By: Dr. Reddy's Laboratories Limited Bachupally - 500 090 India  NDC 55111-533-01","10,656 bottles","Failed Dissolution Specifications: Out of specification results observed for high dissolution.","01/31/2019","02/15/2019","","02/27/2019","Lot #: C802676, Exp 03/20"
"Biologics","No","","82111","Terminated","Oklahoma Lions Eye Bank","3840 N Lincoln Blvd","","Oklahoma City","OK","	73105-5203","United States","Voluntary: Firm initiated","E-Mail","Florida","B-0308-2019","Class II","Cornea","2 corneas","Human corneas, recovered from a donor whose donor eligibility determination failed to ensure that the donor was free from risk factors for, and clinical evidence of infection due to relevant communicable disease agents and diseases, were distributed.","12/11/2018","02/15/2019","02/15/2019","02/27/2019","180386ODCN; 180386OSCN;"
"Drugs","No","","82112","Ongoing","Mariposa Labs LLC","270 E 50th St","","Boise","ID","	83714-1428","United States","Voluntary: Firm initiated","E-Mail","Distributed in California","D-0510-2019","Class II","tubby todd Bath Co, 100% NATURAL DREAM CREAM, Shea Butter and Mint, 3.5 FL OZ 99G, Distributed by: Tubby Todd Bath Co. Vista, CA 920, (619) 894-6560.","1654 jars","Microbial Contamination of Non-Sterile Products: Consumer complaint and subsequent testing found lot to be out of specification for mold.","11/12/2015","02/19/2019","","02/27/2019","Lot#: 5589, Exp. 08/2017"
"Biologics","No","","82120","Terminated","Blood Systems, Inc.","6220 E Oak St","","Scottsdale","AZ","	85257-1101","United States","Voluntary: Firm initiated","FAX","Nevada","B-0317-2019","Class II","PF24 Plasma","1 unit","Blood product, for which donor eligibility screening was incorrectly performed, was distributed.","11/29/2018","02/20/2019","02/20/2019","02/27/2019","W041018122355M"
"Biologics","No","","82121","Terminated","Community Blood Center Of Gtr KC","4040 Main St","","Kansas City","MO","	64111-2308","United States","Voluntary: Firm initiated","FAX","Kansas","B-0318-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood product, collected from a donor who traveled to a malarial endemic area, was distributed.","01/21/2019","02/20/2019","02/20/2019","02/27/2019","W045018065645"
"Biologics","No","","82122","Terminated","Community Blood Center Of Gtr KC","4040 Main St","","Kansas City","MO","	64111-2308","United States","Voluntary: Firm initiated","FAX","Missouri","B-0319-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood product, collected from a donor who traveled to a malarial endemic area, was distributed.","01/08/2019","02/20/2019","02/20/2019","02/27/2019","W045017083202"
"Drugs","No","","82130","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","PA","D-0496-2019","Class II","Fentanyl in 0.9% Sodium Chloride QS 0.5 mL, 5 mcg/0.5 mL with up to 0.1 mL of overfill Injectable Solution, Sterile single use syringe, Rx only, Avella of Houston 9265 Kirby Dr., Houston, TX 77054 (877) 794-0404, NDC 42852-210-72","100 syringes","Labeling: Incorrect expiration date.","02/06/2019","02/15/2019","10/30/2019","02/27/2019","Lot#: 12/31/18 0555 21072S, Exp 3/31/2019"
"Biologics","No","","82132","Terminated","Carter BloodCare","2205 Highway 121","","Bedford","TX","	76021-5950","United States","Voluntary: Firm initiated","FAX","Texas","B-0333-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood product, collected from a donor for whom donor suitability was not adequately determined, was distributed.  ","02/06/2019","02/20/2019","02/20/2019","02/27/2019","W035213030601Q"
"Biologics","No","","82133","Terminated","American National Red Cross The","100 Red Cross Cir","","Pomona","CA","	91768-2580","United States","Voluntary: Firm initiated","FAX","California","B-0313-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Mislabeled red blood cells were distributed.","12/05/2018","02/15/2019","02/15/2019","02/27/2019","W200618045035;"
"Biologics","No","","82134","Terminated","LifeSouth Community Blood Centers Inc","8190 Madison Blvd","","Madison","AL","	35758-2090","United States","Voluntary: Firm initiated","FAX","Alabama","B-0334-2019","Class II","Apheresis Platelets, Leukocytes Reduced","1 unit","Apheresis product, in which platelet yield did not meet specifications, was distributed.  ","01/14/2019","02/20/2019","02/20/2019","02/27/2019","W1151182652619"
"Biologics","No","","82136","Terminated","The Blood Connection, Inc.","1099 Bracken Rd","","Piedmont","SC","	29673-9644","United States","Voluntary: Firm initiated","Telephone","North Carolina","B-0337-2019","Class II","Red Blood Cells","1 unit","Blood product, collected from a donor who traveled to a malarial endemic area, was distributed.  ","11/12/2018","02/20/2019","02/20/2019","02/27/2019","W121618121280"
"Biologics","No","","82154","Terminated","LifeShare Blood Centers","4305 Laurel St","","Beaumont","TX","	77707-2112","United States","Voluntary: Firm initiated","FAX","Texas","B-0315-2019","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood product, collected from an ineligible donor, was distributed.","11/05/2018","02/15/2019","02/15/2019","02/27/2019","W036518667157;"
"Drugs","No","","82177","Ongoing","Akorn Inc","1925 W Field Ct Ste 300","","Lake Forest","IL","	60045-4862","United States","","Letter","Nationwide in the USA.","D-0511-2019","Class II","Moisturizing Lubricant Eye Drops, 0.25% Sodium Carboxymethylcellulose, 0.5 Fl OZ (15mL) Distributed by: Walgreen Co, 200 Wilmont Rd Deerfield IL 60015 NDC 00363-9651-01.","78120 dropper bottles","Failed Stability Specification: out of specification results for Sodium Perborate","02/04/2019","02/19/2019","","02/27/2019","Lot # 8D31A, Exp: 03/20;  7H98A, Exp: 07/19; 7L80A, Exp: 10/19."
"Drugs","No","","80878","Ongoing","ACP Nimble Buyer, Inc.","111 Coolidge St","","South Plainfield","NJ","	07080-3801","United States","Voluntary: Firm initiated","Letter","Nationwide within the United States","D-0514-2019","Class III","Mometasone Furoate Cream, 0.1%, 45 g tube, Rx Only, Manufactured by: G&W Laboratories, Inc. South Plainfield, NJ 07080, NDC 0713-0726-37    ","58,176 units","Labeling: Not Elsewhere Classified. Mometasone Furoate Cream has an NDC typographical error.","02/07/2019","02/20/2019","","02/27/2019","Lot #: 1009431, 1009507, Exp. 08/2020; 1009886, Exp. 09/2020"
"Biologics","No","","81850","Terminated","Octapharma Plasma, Inc.","978 Arlington Rd N","","Jacksonville","FL","	32211-5956","United States","Voluntary: Firm initiated","E-Mail","Austria","B-0228-2019","Class III","Source Plasma","2 units","Source Plasma units, not meeting product specifications, were distributed.","10/17/2018","02/20/2019","02/20/2019","02/27/2019","4590957347; 4590957464;"
"Biologics","No","","81998","Terminated","Vitalant","210 W Cataldo Ave","","Spokane","WA","	99201-2217","United States","Voluntary: Firm initiated","Letter","WA","B-0300-2019","Class III","Apheresis Red Blood Cells, Leukocytes Reduced","2 units","Blood products, collected for a donor who did not meet acceptance criteria, were distributed.","12/10/2018","02/20/2019","02/20/2019","02/27/2019","W068518035536A-part 1; W068518035536A-part 2"
"Biologics","No","","82006","Terminated","New York Blood Center, Inc.","1200 Prospect Ave","","Westbury","NY","	11590-2723","United States","Voluntary: Firm initiated","FAX","NY; CA","B-0299-2019","Class III","Blood and Blood Products for Reprocessing","1 unit","Blood products, collected from a donor for whom donor suitability was not adequately determined, were distributed.","11/09/2018","02/20/2019","02/20/2019","02/27/2019","W047018162761"
"Drugs","No","03/06/2019","82086","Terminated","Mylan Pharmaceuticals Inc.","781 Chestnut Ridge Rd","","Morgantown","WV","	26505-2730","United States","Voluntary: Firm initiated","Letter","Throughout the United States","D-0506-2019","Class III","Diltiazem HCl Extended-Release Capsules, USP 180mg, Packaged in a) 100-count bottles (NDC 0378-5280-01), and b) 500-count bottles (NDC 0378-5280-05), Rx only, Manufactured by: Mylan Pharmaceuticals Inc. Morgantown, WV, 26505","8,159 bottles","Failed Impurities/Degradation Specifications: High out of specification results obtained during routine stability testing     ","02/13/2019","02/15/2019","09/12/2019","02/27/2019","Lot #: 3090167, Exp. October 2019"
"Drugs","No","","82089","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA.","D-0497-2019","Class III","Oxytocin 10 Units added to NS 1000 mL (oxytocin and 0.9% Sodium Chloride) Injectable Solution, Approximately 1001 mL Sterile single use bag, Rx only,  Avella of Houston, 9265 Kirby Dr., Houston, TX 77054, NDC 42852-730-99.","12 bags","Superpotent Drug: product may contain concentrations of oxytocin higher than what is represented on the label.","02/06/2019","02/15/2019","10/30/2019","02/27/2019","Lot: 12/20/18 1056 73099P, BUD: 02/03/2019"
"Drugs","No","","82089","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA.","D-0498-2019","Class III","Oxytocin 20 Units added to NS 1000 mL (oxytocin and 0.9% Sodium Chloride) Injectable Solution, Approximately 1002 mL Sterile single use bag, Rx only,  Avella of Houston, 9265 Kirby Dr., Houston, TX 77054, NDC 42852-703-99.","672 bags","Superpotent Drug: product may contain concentrations of oxytocin higher than what is represented on the label.","02/06/2019","02/15/2019","10/30/2019","02/27/2019","Lots: 12/14/18 1482 70399P, BUD: 02/27/19; 12/14/18 1610 70399P, BUD: 02/27/19"
"Drugs","No","","82089","Terminated","Advanced Pharma Inc.","9265 Kirby Dr","","Houston","TX","	77054-2520","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA.","D-0499-2019","Class III","Oxytocin 30 Units added to NS 500 mL (oxytocin and 0.9% Sodium Chloride) Injectable Solution, Approximately 503 mL Sterile single use bag, Rx only,  Avella of Houston, 9265 Kirby Dr., Houston, TX 77054, NDC 42852-706-50.","1460 bottles","Superpotent Drug: product may contain concentrations of oxytocin higher than what is represented on the label.","02/06/2019","02/15/2019","10/30/2019","02/27/2019","Lots: 11/27/18 3177 70650P, BUD: 02/10/2019; 11/27/18 6618 70650P, BUD: 02/10/2019; 11/28/18 7716 70650P, BUD: 02/12/19; 12/31/18 5698 70650P, BUD: 03/16/19"
"Drugs","No","02/20/2019","82092","Ongoing","Akorn Inc","1925 W Field Ct Ste 300","","Lake Forest","IL","	60045-4862","United States","Voluntary: Firm initiated","Letter","Nationwide, including Puerto Rico.","D-0515-2019","Class III","Clobetasol Propionate Emollient Cream 0.05%, a) 30 gram (NDC 50383-270-30) and b) 60 gram (NDC 50383-270-60) tubes, Rx only. Manufacturer: Akorn Inc. 369 Bayview Ave., Amityville, NY 117701.","a) 4896 tubes; b) 5064 tubes","Failed Stability Specification; out of specification (OOS) results for a preservative at 9 month stability study.","01/25/2019","02/20/2019","","02/27/2019","a) 357052, exp 4/19/19  b) 356892, exp 4/16/19 and 356927, exp 4/15/19"
"Biologics","No","","82118","Terminated","American National Red Cross (the)","825 John St","","West Henrietta","NY","	14586-9790","United States","Voluntary: Firm initiated","E-Mail","California","B-0332-2019","Class III","Blood and Blood Products for Reprocessing","1 unit","Misbranded blood product was distributed.","01/11/2019","02/15/2019","02/15/2019","02/27/2019","W200118788657;"
"Drugs","No","","82126","Ongoing","Lupin Pharmaceuticals Inc.","111 S Calvert St Fl 21ST","","Baltimore","MD","	21202-6174","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA and Puerto Rico.","D-0513-2019","Class III","Lovastatin Tablets USP, 40 mg, packaged in a) 60-count (NDC 68180-469-07 and b) 100-count (NDC 68180-469-01) bottles, Rx only, Manufactured for: Lupin Pharmaceuticals, Inc., Baltimore, Maryland 21202; Manufactured by: Lupin Limited, Goa 403 722 INDIA.","44,640 bottles","CGMP Deviations: Finished product made with lovastatin drug substance that was out of specification for individual impurity results.","02/13/2019","02/20/2019","","02/27/2019","Lot #: a) G702755, Exp March 2020; b) G702756, Exp March 2020"
"Drugs","No","","82127","Ongoing","Perrigo New York, Inc.","1700 Bathgate Ave","","Bronx","NY","	10457-7512","United States","Voluntary: Firm initiated","Letter","Nationwide within the United States","D-0512-2019","Class III","Ciclopirox shampoo 1%,120 mL bottle, Rx only, Manufactured By Perrigo Bronx, NY 10457 Distributed by Perrigo Allegan, MI 49010, 45802-401-09    ","12252 bottles","Failed Degradation/Impurities Specifications: Out of specification related substance results during stability testing.","02/13/2019","02/20/2019","","02/27/2019","Lot #: 7DT0280, 7ET0565, Exp. 02/19"
"Biologics","No","","82131","Terminated","Kentucky Blood Center Inc","3121 Beaumont Centre Cir","","Lexington","KY","	40513-1709","United States","Voluntary: Firm initiated","Telephone","Kentucky","B-0316-2019","Class III","Red Blood Cells, Leukocytes Reduced","1 unit","Red Blood Cells, not prepared according to product specifications, were distributed.","12/29/2018","02/15/2019","02/15/2019","02/27/2019","W038218090840;"
"Biologics","No","","82137","Terminated","OneBlood, Inc.","8669 Commodity Cir","","Orlando","FL","	32819-9003","United States","Voluntary: Firm initiated","E-Mail","Indiana","B-0338-2019","Class III","Blood and Blood Products for Reprocessing","3 units","Blood products, collected from a donor who was previously deferred for taking growth hormone, were distributed.","02/04/2019","02/20/2019","02/20/2019","02/27/2019","W036818512735; W036817313731; W036817065738"
"Biologics","No","","82149","Terminated","Bergen Comm Reg Blood Center","102 Chestnut Ridge Rd","","Montvale","NJ","	07645-1856","United States","Voluntary: Firm initiated","FAX","New Jersey","B-0314-2019","Class III","Apheresis Red Blood Cells, Leukocytes Reduced","1 unit","Misbranded red blood cells were distributed.","01/04/2019","02/15/2019","02/15/2019","02/27/2019","W065618036572U;"
"Drugs","No","","82158","Ongoing","Amerigen Pharmaceuticals Inc.","9 Polito Ave Ste 900","","Lyndhurst","NJ","	07071-3410","United States","Voluntary: Firm initiated","Letter","Product was distributed to 4 wholesalers/distributors and 1 retail account who may have further distribute the product throughout the United States.","D-0516-2019","Class III","Temozolomide Capsules, 5 mg, packaged in a) 5-count bottle (NDC 43975-252-05) b) 14-count bottle (NDC 43975-252-14), Rx only, Mfd. by: Stason Pharmaceuticals, Inc., Irvine, CA 92618, Dist. By: Amerigen Pharmaceuticals, Lyndhurst, NJ 07071","a) 2,413 bottles b) 3,355 bottles","Failed dissolution specifications","02/19/2019","02/20/2019","","02/27/2019","Lot #: a) 18J043A, Exp 09/30/2020, b) 18J043B, Exp 09/30/2020"
"Biologics","No","","82160","Terminated","Octapharma Plasma Inc","8780 Pershall Rd","","Hazelwood","MO","	63042-2915","United States","Voluntary: Firm initiated","E-Mail","Austria","B-0227-2019","Class III","Source Plasma","1 unit","Source Plasma unit, not meeting product specifications, was distributed.","10/16/2018","02/20/2019","02/20/2019","02/27/2019","4410272470;"
"Biologics","No","","82161","Terminated","Octapharma Plasma, Inc.","9349 Telegraph Rd","","Redford","MI","	48239-1260","United States","Voluntary: Firm initiated","E-Mail","Austria","B-0229-2019","Class III","Source Plasma","2 units","Source Plasma units, not meeting product specifications, were distributed.","10/16/2018","02/20/2019","02/20/2019","02/27/2019","4430140921; 4430141003;"
"Biologics","No","","82162","Terminated","Octapharma Plasma, Inc.","1935 S Military Hwy","","Chesapeake","VA","	23320-4422","United States","Voluntary: Firm initiated","E-Mail","Austria","B-0230-2019","Class III","Source Plasma","1 unit","Source Plasma unit,  not meeting product specifications, was distributed.","10/16/2018","02/20/2019","02/20/2019","02/27/2019","5210642238;"
"Biologics","No","","82163","Terminated","Octapharma Plasma, Inc.","813 W Michigan Ave","","Ypsilanti","MI","	48197-5201","United States","Voluntary: Firm initiated","E-Mail","Austria","B-0255-2019","Class III","Source Plasma","1 unit","Source Plasma unit, not meeting product specifications, was distributed.","10/16/2018","02/20/2019","02/20/2019","02/27/2019","5000548351;"
