Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
"Food","No","","72034","Terminated","Tasty Delicious Bakery Inc.","9211 Ditmas Ave","","Brooklyn","NY","	11236-1711","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","New York, New Jersey","F-1524-2017","Class I","TASTY DELICIOUS brand Sugar Bun, Net Wt. 227 Grams (8 Ounces), UPC Code 8 59253 0045 7","Unknown","The product contained undeclared eggs, FD&C Yellow # 5 and FD&C Red # 40 based on sampling and analysis by New York State Department of Agriculture and Markets, plus undeclared milk based on FDA document review.","07/07/2015","02/27/2017","02/27/2017","03/08/2017","Uncoded"
"Food","No","","74813","Terminated","JML Ingredients","2019 Miller Rd","","East Petersburg","PA","	17520-1624","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","MA; PA","F-1537-2017","Class I","IQF Cut Green Beans; Net Weight 20 lb; Dist. by JML Ingredients, East Petersburg PA, 17520; Packed by: The International Co. for Agri Production & Processing. - ICAPP; Exporter's Address Industrial Zone A - 2 (Lot W) - 10th of Ramadan City - Egypt.","5473 - 20 lb. cases","JML Ingredients, Inc. of East Petersburg, PA is recalling IQF Cut Green Beans, because it has the potential to be contaminated with Listeria monocytogenes","07/22/2016","02/24/2017","06/02/2017","03/08/2017","Lot number; Expiration date   110815/15649; August 10, 2017;    120815/15650; August 11, 2017;    050915/15651; September 4, 2017;    200915/15652; September 19, 2017"
"Drugs","No","","75092","Terminated","United Exchange Corporation","17211 Valley View Ave","","Cerritos","CA","	90703-2414","United States","Voluntary: Firm Initiated","Telephone","Nationwide, Puerto Rico and Guyana","D-0496-2017","Class I","EYE WASH, 4 fl oz. (118 mL) bottle, OTC, Distributed by: Major Pharmaceutical, 31778 Enterprise Drive, Livonia, MI 48150, Made in Korea, NDC 0904-6491-20","46,080 bottles","Non-Sterility: Direct evidence of contamination for 2 lots based on FDA samples.","09/02/2016","02/27/2017","06/19/2017","03/08/2017","Lot # G15905, G15907, Exp 10/2018"
"Devices","No","","75486","Ongoing","Medtronic Neuromodulation","7000 Central Ave","","Minneapolis","MN","	55421-1241","United States","Voluntary: Firm Initiated","Visit","Worldwide Distribution - (US Nationwide) Internationally to Germany, Greece, Australia, United Kingdom, Switzerland, Italy, Norway, France, Canada, and Malta.","Z-0788-2017","Class I","Medtronic SynchroMed II Implantable Drug Infusion System.  This system includes:  Model 8870 Software Application Card, Model 8840 N'Vision Clinician Programmer,  and Model 8637 SynchroMed II Implantable Drug Infusion Pump (supplied in 20 ml or 40 ml reservoir size.)     Product  Usage:  The SynchroMed II Programmable Pump is indicated when patient therapy requires the chronic infusion of the following drugs or fluids: Chronic intraspinal (epidural and intrathecal) infusion of preservative-free morphine sulfate sterile solution in the treatment of chronic intractable pain, Chronic intrathecal infusion of preservative-free ziconotide sterile solution for the management of severe chronic pain, Chronic intrathecal infusion of Lioresal Intrathecal (baclofen Injection ) in the management of serve spasticity, Chronic Intravascular Infusion of Floxuridine (FUDR) or methotrexate for the treatment of primary or metastatic cancer  ","22,298 software cards","Medtronic is following up to a May 2013 communication regarding the Priming Bolus function for the SynchroMed Infusion System.  Medtronic is updating the Model 8870 software application card (to version AAU01) and the SynchroMed pump labeling to address the priming bolus issue.","10/03/2016","03/01/2017","","03/08/2017","software application cards with versions other than AAU01"
"Drugs","No","","75741","Terminated","Jeffreys Drug Store","1 N Central Ave","","Canonsburg","PA","	15317-1301","United States","Voluntary: Firm Initiated","Letter","PA","D-0494-2017","Class I","Domperidone capsules 10 mg, compounded,  dispensed in 60, 90, and 360 count bottles, Jeffreys Drug Store 1 North Central Ave. Canonsburg, PA","9 - 30 day scripts","Marketed without an approved NDA/ANDA for which safety and efficacy has not been established.","11/23/2016","02/27/2017","10/29/2018","03/08/2017","Lot #: 071116-103323, Exp. Date 1/7/2017"
"Food","No","","75923","Terminated","Shearers Foods, Llc","100 Lincoln Way E","","Massillon","OH","	44646-6673","United States","Voluntary: Firm Initiated","Press Release","Product was shipped to the following states: AL, AZ, IA, IL, KS, MN, NE, OH, SD, TX & WI.","F-1548-2017","Class I","Deep River Sour Cream & Onion Krinkle Kettle Chips 2 oz bag UPC 8 50668 00049 8 & 5 oz bag UPC 8 50668 00099 3","10,863 cs/24/2 oz bags + 47,289 cs/12/5 oz bags","The firm is recalling various snack products because they used ingredients received from Valley Milk Product which may be contaminated with Salmonella","12/10/2016","02/28/2017","02/22/2018","03/08/2017","2 oz bag Best By 11/9/2016 - 6/2/2017  5 oz bag Best By 11/5/2016 - 6/1/2017"
"Food","No","","75923","Terminated","Shearers Foods, Llc","100 Lincoln Way E","","Massillon","OH","	44646-6673","United States","Voluntary: Firm Initiated","Press Release","Product was shipped to the following states: AL, AZ, IA, IL, KS, MN, NE, OH, SD, TX & WI.","F-1549-2017","Class I","Delish Jalapeno' White Cheddar KETTLE COOKED FLAVORED POTATO CHIPS NET WT 8.5 oz (241g) bag CONTAINS: MILK, UPC 4 49022 83607 5","16,079 cs/6/8.5 oz bags","The firm is recalling various snack products because they used ingredients received from Valley Milk Product which may be contaminated with Salmonella","12/10/2016","02/28/2017","02/22/2018","03/08/2017","Best By 4/7/2017 - 6/30/2017"
"Food","No","","75923","Terminated","Shearers Foods, Llc","100 Lincoln Way E","","Massillon","OH","	44646-6673","United States","Voluntary: Firm Initiated","Press Release","Product was shipped to the following states: AL, AZ, IA, IL, KS, MN, NE, OH, SD, TX & WI.","F-1550-2017","Class I","Larry The Cable Guy Biscuits & Gravy Thin Potato Chips 3 oz bag UPC 7 67212 62423 & 8 oz bag UPC 7 67212 62461","1,842 cs/107/3 oz bags + 971 cs/63/8 oz bags","The firm is recalling various snack products because they used ingredients received from Valley Milk Product which may be contaminated with Salmonella","12/10/2016","02/28/2017","02/22/2018","03/08/2017","3 oz bag Best By 11/10/2016 - 4/3/2017  8 oz bag Best By 11/15/2016 - 3/28/2017"
"Food","No","","75923","Terminated","Shearers Foods, Llc","100 Lincoln Way E","","Massillon","OH","	44646-6673","United States","Voluntary: Firm Initiated","Press Release","Product was shipped to the following states: AL, AZ, IA, IL, KS, MN, NE, OH, SD, TX & WI.","F-1551-2017","Class I","Larry The Cable Guy Jalapeno' Popper Thin Potato Chips 3 oz bag UPC 7 67212 80656 & 8 oz bag UPC 7 67212 80601","710 cs/107/3 oz bags + 689 cs/12/8 oz bags","The firm is recalling various snack products because they used ingredients received from Valley Milk Product which may be contaminated with Salmonella","12/10/2016","02/28/2017","02/22/2018","03/08/2017","3 oz bag Best By 12/15/2016 - 3/9/2017  8 oz bag Best By 12/14/2016 - 3/29/2017"
"Food","No","","75923","Terminated","Shearers Foods, Llc","100 Lincoln Way E","","Massillon","OH","	44646-6673","United States","Voluntary: Firm Initiated","Press Release","Product was shipped to the following states: AL, AZ, IA, IL, KS, MN, NE, OH, SD, TX & WI.","F-1552-2017","Class I","NACHO CHEESE TORTILLA CHIPS: Essential Everyday 1 oz bag (Multi-pak) UPC 4 13030 05979; Essential Everyday 1 oz bag UPC 4 13030 59821, 10 oz bag UPC 4 13030 37638 & Market Essential 11.5 oz bag UPC 9 84873 00119","2,643 cs/40/1 oz bags + 11,252 cs/84/10 oz bags + 1,481 cs/11.5 oz bags","The firm is recalling various snack products because they used ingredients received from Valley Milk Product which may be contaminated with Salmonella","12/10/2016","02/28/2017","02/22/2018","03/08/2017","Essential Everyday  1 oz bag (Multi-pak) Best By 11/12/2016 - 4/01/2017  Essential Everyday  1 oz bag Best By 11/12/2016 - 3/10/2017  10 oz bag Best By 11/7/2016 - 3/31/2017  Market Essential  11.5 oz bag Best By 11/15/2016 -0 2/19/2017"
"Food","No","","75923","Terminated","Shearers Foods, Llc","100 Lincoln Way E","","Massillon","OH","	44646-6673","United States","Voluntary: Firm Initiated","Press Release","Product was shipped to the following states: AL, AZ, IA, IL, KS, MN, NE, OH, SD, TX & WI.","F-1553-2017","Class I","SPICY NACHO CHEESE TORTILLA CHIPS: Essential Everyday 10 oz bag UPC 0 41303 06389 7 & Market Essential 11.5 oz bag UPC 0 98487 30014 0","3,001 cs/12/10 oz bags + 1,233 cs/12/11.5 oz bags","The firm is recalling various snack products because they used ingredients received from Valley Milk Product which may be contaminated with Salmonella","12/10/2016","02/28/2017","02/22/2018","03/08/2017","Essential Everyday 10 oz bag Best By 11/19/2016 - 3/19/2017  Market Essential 11.5 oz bag Best By 11/11/2016 - 2/19/2017"
