Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2062-2015","Class I","GROUND CUMIN  and GROUND CUMIN SEEDS    Con Yeager Spice Company, Zelienople, PA  16063   Net Weight: 10 lbs; UPC: 33385; Lot #: 6820; Net Weight: 5 lbs; UPC: 33385; Lot #: 6820; Net Weight: 1.5 oz; UPC: 30491; Lot #: .217751; .218400; .218560; Net Weight: 7 oz; UPC: 31049; Lot #: .215187; .216060; .218091; .218423; .219606    JACK BELL'S MEAT & POULTRY, KANE, PA, 16735, NET WEIGHT: 7 oz UPC: 31049; LOT #: .219323;   BI LO, RIDGWAY/ JOHNSONBURG FOODS, RIDGWAY, PA, 15853, NET WEIGHT: 28 oz UPC: 30851; LOT #: .215118;   VALESKI'S BILO, INDIANA, PA, 15701, NET WEIGHT: 1.5 oz UPC: 30491; LOT #: .217102;   FISHERTOWN COUNTRY STORE, FISHERTOWN, PA, 15539, NET WEIGHT: 7 oz UPC: 31049; LOT #: .215849;   HOG'S GALORE, PHILIPSBURG, PA, 16866, NET WEIGHT: 7 oz UPC: 31049; LOT #: .219446;   JAK'S FINE FOODS, CORTLAND, OH, 44410, NET WEIGHT: 7 oz UPC: 31049; LOT #: .216795;   LA SPICERIA, PALATINE, IL, 60074, NET WEIGHT: 1.5 oz UPC: 30491; LOT #: .217061;   MORGAN'S GROCERY, PENN YAN, NY, 14527, NET WEIGHT: 1.5 oz UPC: 30491; LOT #: .216762;   NASER FOOD, PLEASANT UNITY, PA, 15676, NET WEIGHT: 1.5 oz UPC: 30491; LOT #: .214544;   O'NEILL COFFEE COMPANY, WEST MIDDLESEX, PA, 16159, NET WEIGHT: 7 oz UPC: 31049; LOT #: .216386; UPC: 31049; LOT #: .219791;   TOM'S RIVERSIDE, NEW BETHLEHEM, PA, 16242, NET WEIGHT: 1.5 oz UPC: 30491; LOT #: .217974;   SHOP N SAVE, CONNELLSVILLE, PA 15425; 1.5 OZ; UPC: 30491; LOT#: .215254  MOUNT PLEASANT SHOP N SAVE, MOUNT PLEASANT, PA, 15666, NET WEIGHT: 1.5 oz UPC: 30491; UPC: 30491; LOT #: .216086; .216246;   SHOP N SAVE, N.HUNTINGDON, NORTH HUNTINGDON, PA, 15642, NET WEIGHT: 1.5 oz UPC: 30491; LOT #: .216246;   NEW CASTLE SHOP N SAVE, NEW CASTLE, PA, 16101, NET WEIGHT: 7 oz UPC: 31049; LOT #: .216002;   THORNE'S , WARREN, PA, 16365, NET WEIGHT: 7 oz UPC: 31049; LOT #: .214614; .216712; LOT #: .217839; .218596; AND   WARRINGTON FARMS, DILLSBURG, PA, 17019, NET WEIGHT: 7 oz UPC: 31049; LOT #: .216156;  ","179 units","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 30491  Lot #:  .217751 ;    .218400 ;    .218560 ;    .217102 ;    .217061 ;    .216762 ;    .214544 ;    .217974 ;    .215254 ;    .216086 ;    .216246 ;     ;  UPC: 30851  LOT #:  .215118 ;     ;  UPC: 31049  Lot #:  .215187 ;    .216060 ;    .218091 ;    .218423 ;    .219606 ;    .219323 ;    .215849 ;    .219446 ;    .216795 ;    .216386 ;    .219791 ;    .216002 ;    .214614 ;    .216712 ;    .217839 ;    .218596 ;    .216156 ;     ;  UPC: 33385  Lot #:  6820 ;    6820 ;"
"Food","No","","70493","Terminated","JCB Flavors, LLC","601 Madison Ave","","Sullivan","WI","	53178-9798","United States","Voluntary: Firm Initiated","Letter","WI, IL, MN, CA, IN,  NJ, AR.","F-2099-2015","Class I","JCB Flavors, LLC, Product Code 10064010, Chili Powder, 10 lb bulk.    ","1040 lb total product","JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.","01/08/2015","04/29/2015","07/05/2017","05/06/2015","1006140505, 1126140501."
"Food","No","","70493","Terminated","JCB Flavors, LLC","601 Madison Ave","","Sullivan","WI","	53178-9798","United States","Voluntary: Firm Initiated","Letter","WI, IL, MN, CA, IN,  NJ, AR.","F-2114-2015","Class I","JCB FLAVORS, LLC, Product Code 8103060812, 8103063212, 8103061606, Chili Powder Dark #810306 ,12x4.25oz jar, 12 x 20 oz jar, 12 x 8oz jar, 6 x 6 lb jug,UPC 66049243520_, 66049243506_, 66049243525_  ","1040 lbs total from all products","JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.","01/08/2015","04/29/2015","07/05/2017","05/06/2015","Lot Codes:0722140209, 0818140305, 1022140405, 1110140204 0703140503      .  ."
"Food","No","","70493","Terminated","JCB Flavors, LLC","601 Madison Ave","","Sullivan","WI","	53178-9798","United States","Voluntary: Firm Initiated","Letter","WI, IL, MN, CA, IN,  NJ, AR.","F-2115-2015","Class I","JCB FLAVORS, LLC, Product Code 8102920812, 8102923212, 8102921606, Chili Powder #810292 , 12 x 8oz jar, UPC: 66049244520, 66049244506.  ","1040 Lbs total from all products.","JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.","01/08/2015","04/29/2015","07/05/2017","05/06/2015","Lot Codes:1022140204    .  ."
"Food","No","","70493","Terminated","JCB Flavors, LLC","601 Madison Ave","","Sullivan","WI","	53178-9798","United States","Voluntary: Firm Initiated","Letter","WI, IL, MN, CA, IN,  NJ, AR.","F-2120-2015","Class I","JCB FLAVORS, LLC, Product Code 4006500812 / 40650/406500812/771756/ 40650, Cumin Ground #400650/40650/44650, 12x 8oz jar,  12x 3.4 oz jar, 12 x 16 oz jar,  1 x 16 oz jar,  ,4 x 5 lb jug,  bulk ( 25 lb, 10 lb, 2 lb) , UPC: 66049248116, 66049248106, 66049248125, 014641001128, 014641001104.      ","1040 lbs total from all products.","JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.","01/08/2015","04/29/2015","07/05/2017","05/06/2015","Lot Codes: 2927E, 2686E."
"Food","No","","70493","Terminated","JCB Flavors, LLC","601 Madison Ave","","Sullivan","WI","	53178-9798","United States","Voluntary: Firm Initiated","Letter","WI, IL, MN, CA, IN,  NJ, AR.","F-2139-2015","Class I","JCB FLAVORS, LLC, Product Code 10044001, 10044002, 10044009, 1004425, Chili Powder #100440, ""1 x 5lb jug,  4 x 5 lb jugs, 4x5lb bags,  25 lb bulk,  10 lb bulk, 12 x 8 oz"".	UPC 014641000183, 014641000176.  		","1040 lb total product","JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.","01/08/2015","04/29/2015","07/05/2017","05/06/2015","Lot Codes: 1113140203, 0917140201, 1002140201,1113140203,  1124140201, 0715140401,  1124140210, 1215140201 , 1208140501, 1022140204, 0729140102."
"Food","No","","70759","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","PA, MD, OH, WV","F-2043-2015","Class I","All varieties and packaging configurations of iced cut out cookies, labeled as Decorated Cut Out Cookie and Cut Out Cookies, 1oz and 2oz sold individually behind the bakery department service counter, and also pre-packaged in 2 counts (5oz), 10 counts (15oz), inside clear plastic containers, ""processed on shared equipment"" statement on label.  ","","Cut Out Cookies sold in Giant Eagle Bakeries were recalled due to an undeclared milk allergen detected after receiving a consumer complaint of an allergic reaction.","03/17/2015","04/24/2015","11/10/2015","05/06/2015","PLUs 17972 and 37973, all Sell By Dates through March 21st"
"Food","No","","70759","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","PA, MD, OH, WV","F-2044-2015","Class I","All varieties and packaging configurations of tinted sugar decorated cut out cookies labeled as Cut Out Cookies and OTC Seasonal Cut Out Cookie, 1oz and 2oz sold individually behind the bakery department service counter and also pre-packaged in 2 counts (5oz), 10 counts (15oz), inside clear plastic containers,""processed on shared equipment"" statement on label.  ","","Cut Out Cookies sold in Giant Eagle Bakeries were recalled due to an undeclared milk allergen detected after receiving a consumer complaint of an allergic reaction.","03/17/2015","04/24/2015","11/10/2015","05/06/2015","PLUs 77993 and 89685, all Sell By Dates through March 21st"
"Food","No","","70759","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","PA, MD, OH, WV","F-2045-2015","Class I","All varieties and packaging configurations of cut out cookies labeled as Cut Out Cookies 12-Pack, 24 oz., inside clear plastic containers,""processed on shared equipment"" statement on label, sold exclusively at the Market District bakery department service counter .  ","","Cut Out Cookies sold in Giant Eagle Bakeries were recalled due to an undeclared milk allergen detected after receiving a consumer complaint of an allergic reaction.","03/17/2015","04/24/2015","11/10/2015","05/06/2015","PLU 69748, all Sell By Dates through March 21st"
"Food","No","","70760","Terminated","First Source Llc Buffalo","1100 Military Rd","","Buffalo","NY","	14217-2514","United States","Voluntary: Firm Initiated","E-Mail","New York, Pennsylvania, New Jersey, Virginia, Maryland, and Massachusetts","F-2142-2015","Class I","Wegmans Organic Food You Feel Good About Walnut Halves & Pieces, NET WT. 6 oz (170 g), UPC 077890358009.  Distributed by Wegmans Food Markets, Inc. Rochester, NY 14609.  Product is packed in a clear tub.  Each case has contains 12 units (tubs).","250 cases/ 12 units","First Source, LLC has recalled Wegmans Organic Walnut Halves & Pieces due to possible Salmonella contamination.","03/17/2015","04/29/2015","05/08/2017","05/06/2015","Best Before 1/27/16"
