Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1299-2017","Class I","Natural Ranch Seasoning, NET Wt. 50 lbs (22.73kg)","30 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Batch: 195986, Lot# of Batch: 61111DA162"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1300-2017","Class I","Truco Nacho, NET Wt. 50 lbs (22.73kg)","6 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Batch: 187323, Lot# of Batch: 60705DA302"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1301-2017","Class I","CCF Butter Popcorn Seasoning, NET Wt. 1000 lbs, Gluten Free","252 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Lot#:  61101DA251, 61101DA252, 61101DA253, 61101DA254, 61101DA255, 61101DA256, 61101DA257, 61128DA201, 61128DA202, 61128DA203, 61128DA204, 61128DA205, 61128DA206, 61128DA207, 60627DA201, 60627DA202, 60627DA203, 60627DA204, 60627DA205, 60627DA206, 60627DA207, 60802DA168, 60802DA169, 60802DA170, 60802DA171, 60802DA172, 60802DA173, 60802DA174, 60908DA201, 60908DA202, 60908DA203, 60908DA204, 60908DA205, 60908DA206, 60908DA207, 60922DA201, 60922DA202, 60922DA203, 60922DA204, 60922DA205, 60922DA206, 60922DA207"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1302-2017","Class I","Texas Sheet Cake Icing Base, Kosher Dairy, Net Wt. 10 lbs, PB9663-10","3,626 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Lot#:  60225DA239, 60330DA161, 60421DA161, 60517DA251, 60727DA165, 60727DA166, 60824DA168, 61111DA201, 61123DA171"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1303-2017","Class I","Creamy Ranch, Net Wt. 50 lbs (22.73 kg), Item Number 16131505","70 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Lot#:  60527DA301, 60912DA201"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1304-2017","Class I","Smoky Bacon Blue Cheese, Net Wt. 50 lbs (22.73 kg), Item Number 16168803","21 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Lot#:  60825DA362, 60907DA365, 61004DA302, 61004DA303"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1305-2017","Class I","1-Step White Chocolate Mousse, NET WEIGHT:  1 BAG: 35 oz/ 1 kg","241 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Batch # 186484, 191426"
"Food","No","","75979","Terminated","Dutch-American Foods Inc","1362 Dutch American Way","","Beecher","IL","	60401-5093","United States","Voluntary: Firm initiated","E-Mail","MD, MI, IL, FL","F-1306-2017","Class I","2-Step White Chocolate Mousse, NET WEIGHT:  1 BAG: 35 oz/ 1 kg","1,216 bags","Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.","12/07/2016","01/23/2017","07/12/2019","02/01/2017","Batch # 183560, 183561, 184048, 184049, 186402,  186403, 186404, 191425"
"Food","No","","76136","Terminated","Boulder Brands, LLC","4735 Florence St","","Denver","CO","	80238-2405","United States","Voluntary: Firm initiated","Press Release","Nationwide.  No foreign/govt/military/VA consignees.","F-1361-2017","Class I","Earth Balance Vegan White Cheddar flavored Mac and Cheese, 6oz package, Cardboard box/carton, 12 packages per distributed case, Ambient storage.","17,691 cases","Earth Balance Vegan White Cheddar flavored Mac and Cheese and Earth Balance Vegan Cheddar flavored Mac and Cheese with undeclared allergen, milk.","12/08/2016","01/26/2017","12/28/2017","02/01/2017","All products within expiration."
"Food","No","","76136","Terminated","Boulder Brands, LLC","4735 Florence St","","Denver","CO","	80238-2405","United States","Voluntary: Firm initiated","Press Release","Nationwide.  No foreign/govt/military/VA consignees.","F-1362-2017","Class I","Earth Balance Vegan Cheddar flavored Mac and Cheese, 6oz package, Cardboard box/carton, 12 packages per distributed case, Ambient storage.","27,553 cases","Earth Balance Vegan White Cheddar flavored Mac and Cheese and Earth Balance Vegan Cheddar flavored Mac and Cheese with undeclared allergen, milk.","12/08/2016","01/26/2017","12/28/2017","02/01/2017","All products within expiration."
