Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","66265","Terminated","Schwebel Baking Company","965 E Midlothian Blvd","","Youngstown","OH","	44502-2837","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was shipped to the following states: IN, MI, NY, OH, PA & WV.","F-0086-2014","Class I","Schwebel's Golden Rich Bun with Honey, 18 oz plastic bag, 12 count, UPC 0 71319 00083 8 Product labeled in part, ""INGREDIENTS: ENRICHED WHEAT FLOUR***CONTAINS: WHEAT, SOY SCHWEBEL BAKING CO. YOUNGSTOWN, OH 44501""","12,642/18 oz/12 count plastic bags","Undeclared eggs.","09/12/2013","10/28/2013","04/28/2014","11/06/2013","Lot #CAFC8W, Best By Sept 21, Lot #CAFC7B, Best By Sept 20"
"Devices","No","","66305","Terminated","Edwards Lifesciences, LLC","12050 Lone Peak Pkwy","","Draper","UT","	84020-9414","United States","Voluntary: Firm Initiated","Letter","Worldwide distribution: US (nationwide) and country of: Canada.","Z-0091-2014","Class I","Edwards Lifesciences EMBOL-X Glide Protection System; Model Numbers: EXGF24D, EXGF24LLD, EXGF24MMD, EXGF24SSD, EXGF24XLD, EXGF24XSD, EXGFXS2D, EXGF24SS2D, EXGF24MM2D, EXGF24LL2D and EXGF24XL2D.    The EMBOL-X access device is indicated for the perfusion of the ascending aorta during short-term (less than or equal to0¿ 6 hours) cardiopulmonary bypass (CPB) surgery where procedures may require the hemostatic introduction and removal of compatible intravascular devices into the vascular system.","12,034","Edwards Lifesciences is recalling certain lots of EMBOL-X Glide Protection System due to deformation of the cannula tip.","09/16/2013","10/31/2013","03/10/2017","11/06/2013","Model No: EXGF24D, EXGF24LLD, EXGF24MMD, EXGF24SSD, EXGF24XLD, EXGF24XSD, EXGFXS2D, EXGF24SS2D, EXGF24MM2D, EXGF24LL2D and EXGF24XL2D."
"Food","No","","66320","Terminated","Conagra Inc","1 Conagra Dr","CC-366","Omaha","NE","	68102","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was distributed to AL, AR, AZ, CA, CO, CN, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, ME, MI, MO, MI, NC, NE, NM, NV, NY, OH, OK, PE, SC, TN, TX, UT, VI, WA, WI and WY.  No foreign distribution was made, including Canada.  There may be one military client.  The firm is gathering the distribution information and will forward that to KAN-DO as soon as it is ready.","F-0085-2014","Class I","P.F. Chang's Home Menu, Pork & Leek Dumplings, frozen, packaged in 12.5 oz bags. UPC: 0 36200 21215 8","13,066/4/12.5 oz-bags/case","The firm is recalling Pork & Leek Dumplings because Shrimp & Pollack Fish dumplings were inadvertently packaged in the Pork & Leek Dumpling packaging.  Undeclared allergens.","09/18/2013","10/28/2013","07/29/2014","11/06/2013","Lot code: 0663 312871 and 0663 312972, Use By MAY082014 and Lot code: 0663 312971 and 0663 312972, Use By MAY092014."
"Devices","No","","66379","Terminated","Pentax Medical Company","3 Paragon Dr","","Montvale","NJ","	07645-1782","United States","Voluntary: Firm Initiated","Letter","Nationwide Distribution including Arizona, California, Florida, Idaho, Indiana, Kansas, Maryland, Missouri, Missippi, North Carolina, New York, Pennsylvania, Virginia, Wisconsin and Wyoming.","Z-0084-2014","Class I","PENTAX Endoscopic Accessories.  OF-B194.  Made in Japan.    PENTAX Upper/Lower G.I. Endoscopes are provided with Air/Water Valve. As an alternative, the optionally available Gas/Water Valve may be used in place of the standard Air/Water Valve to deliver a non-explosive gas for insufflation.","76 units","PENTAX Medical has become aware of a product issue associated with the OF-B194 Gas/Water Feeding Valve.  A manufacturing defect may cause improper stoppage of CO2 gas during an endoscopic procedure with the potential for serious hazard to and/or user.","09/16/2013","10/28/2013","07/09/2014","11/06/2013","Model OF-B194"
"Devices","No","","66433","Terminated","Atossa Genetics, Inc.","1616 Eastlake Ave E Suite 4411","","Seattle","WA","	98102-3788","United States","Voluntary: Firm Initiated","Press Release","USA Nationwide Distribution in the states of:  AL, CA, FL, GA, IL, IN, KY, MD, ME, MI, MO, NC, ND, NJ, NV, NY, OK, PA, SC, TN, TX, UT, VA, WA, Washington DC, and Puerto Rico.","Z-0042-2014","Class I","Brand: The ForeCYTE Breast Health Test, Mammary Aspiration Specimen Cytology Test (MASCT), MASCT System Kits, Clarity System Kits, MASCT Patient Sample Kits & Clarity Patient Sample Kits Instrument, Biopsy.    The MASCT System Kit, Patient Sample Kits, or the Nipple Aspirate Fluid Laboratory Kit  has the following codes:    PRODUCT CODE: AG-MASCT; AG-FC5;  DTG-MASCT, DTG-FC5, and NRLBH-5.    PART NUMBER: 9002513; 9002513MD;  9002528; 9002528MD; 9002587;   9002614; and 9002717MD.    THE MASCT SYSTEM KIT CONSISTS OF:    1. MASCT Breast Pump;  2. Instructions for Use (IFU);  3. Heating Pad;  4. Timer;  5. Saccomono's Fixative;  6. Nu Prep Gel;  7. Welcome and Training Materials Coversheet;  8. MASCT System Order Form;  9. ForeCYTE Training Video DVD;  10. MASCT System Instructions with pictures - pink;    THE PATIENT SAMPLE KIT CONSISTS OF:    1. Two (2) flower assemblies (e.g., filter, filter retainer, and filter holder);  2. Instructions for Use (IFU);  3. Two (2) specimen collection devices;  4. Two (2) breast bags for transporting the specimen collection container;  5. Barcode labels;  6. Saccomono's Fixative;  7. Nu Prep Gel;  8. MASCT System package insert;  9. ForeCYTE Test Requisition Form;  10. Patient Information Sheet;  11. Atossa Patient Information;  12. FED EX Clinical PAK;  13. MASCT System Order Form;  14. FED EX Pouch;  15. FED EX Airbill;    Product Usage:  The MASCT Device is intended for use in the collection of nipple aspirate fluid for cytological testing. The collected fluid can be used in the determination and/or differentiation of normal versus premalignant versus malignant cells.    ","577 MASCT System kits, 101 Lab Kits, and 2557 Patients Kits (5 test per kit)","Atossa Genetics is recalling ForeCYTE Breast Health Test, Mammary Aspiration Specimen Cytology Test (MASCT) due to concerns raised by the U.S. Food and Drug Administration (FDA) in a warning letter received by Atossa in February 2013.  The FDA raised concerns about (1) the current Instructions for Use (IFU); (2) certain  promotional claims used to market these devices; and (3)  the need for FDA cl","09/19/2013","10/28/2013","08/19/2014","11/06/2013","ALL LOTS"
"Food","No","","66453","Terminated","Orange County Produce","11405 Jeffrey Rd","","Irvine","CA","	92602-0503","United States","Voluntary: Firm Initiated","Press Release","CA","F-0084-2014","Class I","Red and Green Bell Peppers, 25 lbs.","1208 units","Orange County Produce, LLC is recalling fresh red and green Bell Peppers because they may have the potential to be contaminated with Salmonella.","10/06/2013","10/28/2013","10/28/2013","11/06/2013","Lot # SB 7 920, SB 7 923, SB 7 924"
"Food","No","","66463","Terminated","Epicure Food Corp.","1 Atalanta Plz","","Elizabeth","NJ","	07206-2120","United States","Voluntary: Firm Initiated","Telephone","CT, DC, DE, MD, NJ, NY & PA","F-0088-2014","Class I","St. Marcellin Au lait pasteurise fabrique en Dauphine  l'unite: poids net 80ge  Fromagerie Qurtet 38470 VINAY","20 cases (8-80 gm units per case)","The French Ministry of Food, Agriculture is requiring cheese to be withdrawn from sales at all levels of distribution as L. monocytogenes was detected in thermised (heat-treated/not pasteurized) product in France which was not exported.","09/12/2013","10/30/2013","07/13/2015","11/06/2013","Lot #13U219, Lot # 13U225"
"Food","No","","66484","Terminated","Barrel O' Fun Snack Foods Co.","400 Lakeside Drive","","Perham","MN","	56573-1226","United States","Voluntary: Firm Initiated","Telephone","Retail Stores located in Colorado, Nebraska, New Mexico, South Dakota, and Wyoming.","F-0083-2014","Class I","the Snack Artist BBQ Flavored Potato Chips, Net Wt. 10 oz. (283 g), UPC 21130-29106.  Distributed by Safeway, Inc. Pleasanton, CA  94566","3 cases (12-10 oz. bags per case)","Undeclared Milk.  BBQ flavored potato chip bags inadvertently contain Sour Cream & Onion flavored potato chips, which contain milk.","10/10/2013","10/28/2013","03/10/2014","11/06/2013","Best By 08JAN2014 3255M27"
"Biologics","No","","39187","Terminated","Octapharma Plasma Inc","4402 Dayton St","","San Diego","CA","	92115-3617","United States","Voluntary: Firm Initiated","Letter","IL, Switzerland","B-0027-14","Class II","Source Plasma","33 units","Blood products, which tested negative for viral markers, but were collected from a donor who previously tested positive for the antibody to hepatitis C virus (anti-HCV), were distributed.","05/25/2007","10/25/2013","10/25/2013","11/06/2013","0460004858, 0460004635, 0460002270, YA190229, YA190136, YA189991, YA189818, YA189516, YA189428, YP221933, YP221853, YP221708, YP221571, YP221411, YP221316, YP221195, YT115612, YT115410, YT115364, YT115279, YT115179, YT115115, YT114852, YT114706, YT114680, YT114576, YT114541, YT114440, YT114429, YT114324, YT114289, YT115037, YT114985"
"Biologics","No","","40686","Terminated","BioLife Plasma Services L.P.","15903 Strathern St","Lewis Business Center","Van Nuys","CA","	91406","United States","Voluntary: Firm Initiated","E-Mail","California","B-0029-14","Class II","Source Plasma","6 units","Blood products, which were not quarantined after receiving information regarding the suitability of the donors, were distributed.","08/15/2005","10/25/2013","10/25/2013","11/06/2013","05EWIA3253, 05OWIA2323, 04AIAE2883, 04FMOB2983, 04FMOB3477, 04FMOB3745"
